enterprise_id,invest_status,registered_time,registered_capital,address,Tag,Product,industry_code,employees_num
24b504a029ed492b8e9e96f3196c2223,1,2014/3/26,510,南京市雨花台区西春路1号北楼301室,,,M,
2a97f14580b64ee088df9cb12726b8cd,1,2007/12/4,200,上海市奉贤区南桥镇沪杭公路24号（奉工）,,,C,
64caf59c05b349e08972b7914da54c57,1,2015/10/20,1500,湖南省长沙市天心区书院路9号保利国际广场B1栋1419-1421室,,,L,
9cbc4c5c7255468caaa87f11f70e3d17,1,2015/10/27,10000,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）,,,J,
89857329cbdf42939c029ec04d4ec974,1,2015/9/22,28,南京市鼓楼区五所村406号-4,,,I,
1e7ab7cbcb4042038254aa63ae885739,1,2016/3/17,500,北京市海淀区上地信息路26号10层1015-133室,,兽宝网络是一家畜牧业农业科技公司，中农劲腾旗下公司,M,
796b82cabaa54d9fb79cb3522d81dc35,1,2014/5/15,1000,杭州市江干区财富金融中心2幢2108-2室,,,I,
47a5569e948947cdbdb6ef5e7ec27ad2,1,2015/7/21,67000,南京市浦口区文德路35号19楼,,,M,
d3ed6f73d6de4c7dbe19fcc7c6237bb5,1,2011/4/11,2222,南京市六合区东沟镇南京四桥经济园振东路2号,,,F,
900a90fd15884b1badbd229356f4cbef,1,2016/1/6,20,上海市长宁区平武路38号二层28室,,光潾网络是一家专注于为企业提供基于云端的市场营销管理平台公司的产品CustouchMarketingAutomationSaaS可以帮助企业的市场营销人员通过统一的入口一站式管理企业日常所有的线上营销工具，并能时事捕捉获取企业客户和营销材料的互动情况从而分析出客户的感兴趣程度和购买意愿,I,
d2fe3e814952445690b19131fba6e745,1,2016/5/19,100,上海市嘉定区真新街道金沙江路3131号2幢J154室,,云赞校园app是一个连接有校园品宣需求的企业活动等（如中国新歌声等综艺节目百雀羚等老牌国货滴滴打车平安银行等APP微信公众号游戏等）与全国高校社团的平台，通过整合线下全国范围的高校的精准渠道，链接上游CP需求（则广告主），为双方搭建沟通桥梁，解决企业进高校难高校获得赞助难这一痛点，形成三赢同时，云赞校园把控校园推广的各个方面，通过海量数据分析，匹配最合适的校园区域进行活动；设置sop活动执行手册，设置校园理事，app直播等环节，避免企业落地高校推广监督难效果差推广盲目等问题，从而保障推广的质量目前已经服务30+品牌商，覆盖全国1300余所高校，3000余社团,M,
41687c1c45c84980a3c2972615d0e0b3,1,2012/4/24,1000,北京市朝阳区惠新东街6号院2号办公楼7层722室,,,R,
8dd2049f890e40bfbc2f490c4b8ef2cf,1,2015/12/2,500,北京市朝阳区天朗园C座3层03商业（丰收孵化器623号）,,,R,
c2ec3c0a9d09459ba123f781fb0b1872,1,2016/6/23,5600,福建省漳州蓝田经济开发区,,,L,
b05a14f90b4a4f27be5598fdfc5d4116,1,2013/1/10,1000,辽宁省大连市甘井子区汇利街75号20层6号,,是一家专注于酒店培训和酒店国际职业资格认证以及为院校提供酒店管理课程的教育服务机构美格为客户提供酒店定制式培训课程，以行业需求为中心，执行国际通用标准，具有很强的操作实用性和行业通用性同时我们还为客户提供运营管理技术市场资讯服务；为酒店从业人员提供专业领域的提升与发展机会2012年公司成功与美国饭店协会教育学院合作，成为中国东北区域总运营商，代理学院的酒店资格认证及院校课程,L,
6a890e294d31485d9dfae37d195b2aaa,1,2006/11/27,2000,北京市朝阳区东三环南路19号院1号楼-2至15层101内十一层A775号,,,M,
d0897e139f4044eba7a9b39455f58066,1,2012/8/22,93000,无锡市中南路86号,,,L,
2dcafcf420e345978718b0d2def0ff7f,1,2014/2/13,10000,深圳市福田区红荔路38号群星广场A座2815号,,,F,
ebdda3dc154f4c618315efe80e19c541,1,2016/2/25,600,南京市浦口区江浦街道雨山路48号文创园东区A栋118号,,,N,
ee071759b99643199c2f15bbcecefe02,1,2004/8/10,4000,陕西省杨凌示范区新桥南路三八妇乐健康产业园,,,M,
3ac544cde96e4d52a3954323d8fd9264,1,2015/12/7,50000,广州市南沙区丰泽东路106号X1301-C396（仅限办公用途）（JM）,,,L,
51d09879e7104092aaacab29be5b5550,1,2007/9/24,50000,北京市西城区珠市口西大街105号8幢301室,,,L,
2626ebbae0a14f7f9a2e8becb577f00e,1,2015/9/1,1364,中国（四川）自由贸易试验区成都高新区云华路333号8栋6层,2,比特信安专注于大数据领域的产品研发和解决方案设计，围绕大数据的完整生命周期提供数据保护和数据安全的解决方案核心产品包括数据库涉密信息检查大数据脱敏系统等，广泛应用于保密行业电信行业银行等部门与单位,I,
49156996e0ce47d39e90e83c5d3689dc,1,2015/1/8,1000,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）,,,J,
3562ab5cbe1e410bb296e3e11603c2ad,1,2015/8/31,2500,中国（上海）自由贸易试验区菲拉路45号全幢4层R1部位,,,I,
5dbea32c39e447b9bf15e5b0c469c376,1,2015/10/20,109,上海市徐汇区桂平路481号15幢5C8-1室,,百拜单车的前身是美骑单车，打颜色是绿色，主要面向二至四线城市的用户提供服务，采用的商业模式为B2B2C，即为政府景区等B端用户提供“智能硬件+SaaS”解决方案，以及服务于C端短途出行用户,M,
ab76c98750aa48eaa8f9e5363ce375be,1,2015/6/4,2054,海南省海口市龙华区滨海大道32号复兴城A1区2001号,2,兼果APP是一款为全国在校大学生免费提供兼职和社会实践的O2O平台，同时也为企业提供精准招募，人员培训，带队管理，工资垫付，档案建设，品牌推广等一系列服务,I,
