enterprise_id,registered_time,registered_capital,address,Tag,Product,industry_code,employees_num
2c2dbd31471849e48146a52f8a4bc9f1,2014/6/19,278,北京市石景山区实兴大街30号院3号楼2层A-0437房间,,北京梦想园科技是一家手机游戏开发商，团队大部分来自《全民英雄》核心研发团队，正在研发一款3D卡牌游戏,M,
37b2132232d54aa58701acacae8f81a2,2015/8/14,123,北京市海淀区车道沟1号1号楼5层5-1235,,厨one是一家致力于打造一个大厨版的Wework+YC的公司一方面提供场地和运营策略，一方面提供天使资金和方法论等支持，帮助有雄心抱负的大厨实现创业梦想,L,
52a541286fbf45e9b5d2d9a0c1b641a1,2016/1/21,2000,苏州吴中经济开发区越溪街道塔韵路188号塔韵大厦15层,,索思医疗2016年1月成立于苏州，主要从事柔性可穿戴医疗设备的研发，以及运用医疗大数据协助医生进行人工智能诊断与分析公司目前已完成ISO13485医疗器械质量管理体系认证，并有三款产品获得国家医疗器械注册证索思医疗研制的穿戴式动态心电记录仪是国内最早获得CFDA认证的医疗器械产品，2017年索思医疗成功推出穿戴式体温检测仪和胎儿心电监测仪目前索思医疗的产品已进入全国18个省份的300余家医院，用户人数超过20万人次,F,
007197d1a3144568a39ce7676291cef3,2015/5/15,143,北京市海淀区清河嘉园东区19幢-1层-109-307,,,L,
72edcdcd73bf4bef95d3170bcde261cc,2015/8/6,14,北京市朝阳区西大望路甲12号2号楼（国家广告产业园区孵化器25540号）,,蜕变盒子目前是一款少女内衣套盒，致力于从设计质量上保障少女内衣的安全性和时尚性蜕变盒子的电商平台将于2016年1月上线,M,3
eb9ecbdd76084db99725e4c3e4362f80,2008/3/6,2422,吴江区盛泽镇东盛步行街3-1418号公寓,,江凯安纺织布艺有限公司座落于日出万匹衣被天下丝绸重镇――中国江苏吴江盛泽，交通便利民风纯朴毗邻苏州杭州上海，苏嘉杭高速公路贯穿于此主要生产服装面料，功能性面料，TPU，离型纸转移，环保纱，20D/15D细丝面料等,F,
fc5bac2cf8224b4d9f7a61c6ce4c4608,2004/10/27,61224,深圳市罗湖区爱国路惠名大厦附楼二层02,,,L,
21831df7e70541fdbc6459f7324f5f11,2012/11/6,292,北京市海淀区中关村大街1号17层1701室,2,北京比邻弘科科技（Lbadvisor）是一家第三方的社交化数据分析和数据资产公司，通过数据提供精准营销等服务；@薇券是一个社交化精准推荐服务商，通过场景化跟评与游戏成就系统相结合的手游奖励SDK等方式提供推荐服务，北京比邻弘科科技有限公司旗下，提供基于社交大数据挖掘的精准推荐服务,M,
f5750b0cef8a450bb65ab95668662b3c,2013/6/8,155,广州市海珠区新港东路1020号3913房（仅限办公用途）,,灵聚科技是一家人工智能与机器人科技公司，为智能机器人智能硬件类产品提供良好的人机自然语言交互能力具有拟人化智能与思维能力的通用技术，旗下有“机器人小灵”等,M,
1e99766c699549df9c63347c91cd093d,2015/10/26,12,北京市海淀区北清路68号院24号楼D座3层605,,众众APP是一个基于LBS地理位置的O2O任务众包和地推服务平台，帮助企业进行数据采集产品推广和商务拓展，然后用户可以领取任务赚取佣金人人地推网络科技（北京）有限公司旗下产品,M,
0abc3bee28ab489f89e3adca8f81c0a2,2015/7/6,1100,上海市奉贤区金大公路8218号5幢207室,,“药材买卖网（www.yaocaimaimai.com）”由知名VC天使投资人投资千万人民币，旨在打造全球最大的药材交易平台,L,
370479e314f54b11a6dd153ed23b373d,2007/7/6,1000,东莞市莞城区莞太路34号创意产业中心园区12栋4-5楼,,健客网是一个B2C医药电商平台，主要经营药品保健品减肥护肤品母婴用品成人安全用品等数万种产品广东健客医药有限公司旗下产品,F,
a7ac90c969024c9abd483d337b119c25,2012/10/19,377,广州市天河区体育东路140-148号四楼401自编001房,,款易是一个基于微信的餐饮ERP系统提供商，主要为中小餐饮企业提供从前台点餐到后厨响应，直到库房管理和中央厨房调配的解决方案,M,
26455f34b6f34a1e9d96f2a869fecb72,2014/6/23,2174,广州市海珠区赤岗北路18号三层自编之一K10（仅限办公用途）,2,叮叮医生是一个为肿瘤医生打造临床数据收集和追踪的手机APP广州雅特网络科技有限公司旗下产品,M,
bf7a82ae6b044bb0b57955698092cf09,2014/1/8,1760,深圳市南山区沙河街道世界花园海华居1栋18F,,WEFANS是一个专注于为明星艺人提供官方会员制俱乐部建设及运营的产品和服务的机构让粉丝可以跟踪明星的报道，参与明星的活动，近距离见到明星深圳互娱网络科技旗下产品；WEFANS（微粉）是一个专注于为明星艺人提供官方会员制俱乐部建设及运营的产品和服务的机构深圳互娱网络科技旗下产品,I,
5f875482832748fbb2b2607e34d211bd,2015/6/3,4,北京市海淀区翠微路2号院1幢2层2173,,三文娱是一家专注于动漫与文化娱乐创意产业的垂直新媒体，北京创艺天地科技有限公司旗下网站,M,4
a3ee54e8ea464fb982fa4d13713eab35,2010/12/31,313,深圳市南山区粤海街道科技园科技路9号蚂蚁邦创业加速中心616单元,2,云动创想（AirSmart）是一家主打智能Wi-Fi音箱的智能音频软硬件公司，主要产品有猫王收音机等,F,
775d2a0b1f2d4be1aadb850cbfe80d5f,2014/12/26,157,广州市天河区中山大道建工路13，15号418室,,松果倾诉是一款语音社交软件，你可以通过即时文字或语音的方式，在松果匿名情感交流倾诉咨询,M,
d3ff358c92444f3bb77db34a2784660e,2015/6/8,444,重庆市北部新区青枫北路30号凤凰C座6楼,,手艺网是一家手工艺在线教育平台，为用户提供手工艺在线教育，手工爱好者交流论坛，手工工具及手工高定电务服务,I,
b9119dafea9444a7b8136c2090f0447c,2014/2/28,114,山东省青岛市市南区香港中路12号丰合广场B区902,,多多印是一个商务印刷电商，提供个性化商务设计与印刷服务；创意猫网是一家垂直领域的广告设计交易平台，隶属于青岛创易智联网络有限公司,I,
ac812e691851405eb2b3adf02df4abb8,2015/3/26,125,北京市海淀区安宁庄东路23号2幢5层5159,,快签是一个具有司法判决依据的第三方在线签约平台，开创了“支付签约”的模式，通过快签可以随时随地在线签署法律文书，不再需要传真扫描打印快递，北京快签科技有限公司旗下产品,M,4
6e2009efda81419ca1e703687e21f7d0,2014/6/18,133,北京市西城区新街口外大街28号102幢218室（德胜园区）,,走起Walkup是一个记步工具及运动社交APP，将游戏与社交融合到一起，激发用户的运动热情，结合丰富的游戏玩法与社交系统，北京微风科技有限公司旗下产品,I,
b79c6ab06dfe4949a1904b4409d2c78f,2014/12/24,45,浙江省杭州市拱墅区祥园路33号3楼91号工位,,云格子铺是大学校园闲置品交易和社区平台,F,
2b582f0d68a2482a9abb0f2b718f60d2,2014/5/20,100,上海市徐汇区龙腾大道2879号3楼3581室,,柠檬微众筹是一个基于微信的微众筹平台，让用户更方便地发起众筹，号召小伙伴一起进行各种创意微众筹行动,I,6
816eedbd004f4fb3b5bd8b1418b46f49,2015/6/10,160,广州市天河区海安路13号之一1701房（仅限办公用途）,,美丽元是一个上门美妆O2O平台，目前可提供美甲美睫和手部护理的上门服务广州美丽元网络科技有限公司旗下产品,I,
f5fa095a1dd142b2a9099f0d60afd0cf,2013/2/28,370,成都高新区紫竹北街85号1幢1层40号,,卢恒宇和李姝洁工作室是一家动画工作室，专注于二维无纸动画的项目统筹前期设定后期制作等，作品有《十万个冷笑话》《尸兄》,L,8
c7a9708cec034c7b9d93bedb56c2870f,2014/3/13,500,北京市朝阳区光华东里8号院2号楼23层2301内2601室,,北京朱李叶健康科技有限公司致力于打造一整套完善的家庭医生服务体系，让每一个普通的家庭能够通过与朱李叶的医生建立长期而友好的合作关系而享有安全放心可靠的健康关怀和就医服务,M,3
6ffdf92dd50e4b4cb6de234badd64843,2015/6/30,14,北京市朝阳区高碑店乡半壁店村惠河南街1127号2层-3,2,互联星梦是一家VR游戏（虚拟现实游戏）开发公司，目前正在开发的产品为VR法术类FPS游戏《猎灵师》手势虚拟现实游戏《猜拳岛》等,M,28
0b85d1db700f4aaa90f53966093e348b,2014/1/8,149,长沙高新开发区麓谷大道662号软件中心大楼专业楼孵化楼1010室（集群注册）,2,乐喜网于2013年10月份上线，主打O2O模式的私人定制婚礼一站式服务，长沙现象网络科技有限公司旗下网站,M,49
ed8a22aaa72e4b4581933cb6420d3387,2015/9/2,22,杭州市西湖区文二路391号西湖国际科技大厦5号楼2层221室,,橡木匣子是一个创意生活的分享社区，为用户提供有品质感的生活导购服务，隶属于杭州墨客科技有限公司,M,
